epoch,lr-Adam,step,train_loss,val_loss
,0.01,49,,
,0.01,99,,
,0.01,149,,
0,,164,,43.02141189575195
0,,164,88.00032806396484,
,0.01,199,,
,0.01,249,,
,0.01,299,,
1,,329,,37.793052673339844
1,,329,39.949989318847656,
,0.01,349,,
,0.01,399,,
,0.01,449,,
2,,494,,33.47964096069336
2,,494,35.1455078125,
,0.01,499,,
,0.01,549,,
,0.01,599,,
,0.01,649,,
3,,659,,28.738779067993164
3,,659,31.3625545501709,
,0.01,699,,
,0.01,749,,
,0.01,799,,
4,,824,,29.179006576538086
4,,824,29.72673988342285,
,0.01,849,,
,0.01,899,,
,0.01,949,,
5,,989,,27.388608932495117
5,,989,28.2510986328125,
,0.01,999,,
,0.01,1049,,
,0.01,1099,,
,0.01,1149,,
6,,1154,,26.065900802612305
6,,1154,27.74888038635254,
,0.01,1199,,
,0.01,1249,,
,0.01,1299,,
7,,1319,,27.82912254333496
7,,1319,26.67438316345215,
,0.01,1349,,
,0.01,1399,,
,0.01,1449,,
8,,1484,,25.57871437072754
8,,1484,26.364635467529297,
,0.01,1499,,
,0.01,1549,,
,0.01,1599,,
,0.01,1649,,
9,,1649,,24.746706008911133
9,,1649,25.67169952392578,
,0.01,1699,,
,0.01,1749,,
,0.01,1799,,
10,,1814,,26.758272171020508
10,,1814,25.03053092956543,
,0.01,1849,,
,0.01,1899,,
,0.01,1949,,
11,,1979,,24.761869430541992
11,,1979,25.02191925048828,
,0.01,1999,,
,0.01,2049,,
,0.01,2099,,
12,,2144,,25.064756393432617
12,,2144,23.744735717773438,
,0.01,2149,,
,0.01,2199,,
,0.01,2249,,
,0.01,2299,,
13,,2309,,25.416908264160156
13,,2309,23.980100631713867,
,0.01,2349,,
,0.01,2399,,
,0.01,2449,,
14,,2474,,24.55392837524414
14,,2474,24.479665756225586,
,0.01,2499,,
,0.01,2549,,
,0.01,2599,,
15,,2639,,24.69155502319336
15,,2639,23.66486358642578,
,0.01,2649,,
,0.01,2699,,
,0.01,2749,,
,0.01,2799,,
16,,2804,,23.226055145263672
16,,2804,24.30158042907715,
,0.01,2849,,
,0.01,2899,,
,0.01,2949,,
17,,2969,,23.29596710205078
17,,2969,23.610702514648438,
,0.01,2999,,
,0.01,3049,,
,0.01,3099,,
18,,3134,,24.187835693359375
18,,3134,23.52629852294922,
,0.01,3149,,
,0.01,3199,,
,0.01,3249,,
,0.01,3299,,
19,,3299,,26.666044235229492
19,,3299,23.021812438964844,
,0.01,3349,,
,0.01,3399,,
,0.01,3449,,
20,,3464,,23.541894912719727
20,,3464,22.754026412963867,
,0.01,3499,,
,0.01,3549,,
,0.01,3599,,
21,,3629,,22.91745948791504
21,,3629,22.68994903564453,
,0.01,3649,,
,0.01,3699,,
,0.01,3749,,
22,,3794,,24.0721435546875
22,,3794,22.63429069519043,
,0.01,3799,,
,0.01,3849,,
,0.01,3899,,
,0.01,3949,,
23,,3959,,22.377111434936523
23,,3959,22.66531753540039,
,0.01,3999,,
,0.01,4049,,
,0.01,4099,,
24,,4124,,22.850820541381836
24,,4124,22.42222785949707,
,0.01,4149,,
,0.01,4199,,
,0.01,4249,,
25,,4289,,24.187049865722656
25,,4289,22.55902671813965,
,0.01,4299,,
,0.01,4349,,
,0.01,4399,,
,0.01,4449,,
26,,4454,,21.980697631835938
26,,4454,22.255149841308594,
,0.01,4499,,
,0.01,4549,,
,0.01,4599,,
27,,4619,,21.74407958984375
27,,4619,22.378742218017578,
,0.01,4649,,
,0.01,4699,,
,0.01,4749,,
28,,4784,,22.487510681152344
28,,4784,22.26677703857422,
,0.01,4799,,
,0.01,4849,,
,0.01,4899,,
,0.01,4949,,
29,,4949,,22.129507064819336
29,,4949,22.114892959594727,
,0.01,4999,,
,0.01,5049,,
,0.01,5099,,
30,,5114,,22.98293113708496
30,,5114,22.3958740234375,
,0.01,5149,,
,0.01,5199,,
,0.01,5249,,
31,,5279,,22.066608428955078
31,,5279,21.7647762298584,
,0.01,5299,,
,0.01,5349,,
,0.01,5399,,
32,,5444,,21.921371459960938
32,,5444,21.532072067260742,
,0.01,5449,,
,0.01,5499,,
,0.01,5549,,
,0.01,5599,,
33,,5609,,22.178665161132812
33,,5609,21.53200340270996,
,0.01,5649,,
,0.01,5699,,
,0.01,5749,,
34,,5774,,21.759632110595703
34,,5774,21.51694679260254,
,0.01,5799,,
,0.01,5849,,
,0.01,5899,,
35,,5939,,22.22661781311035
35,,5939,21.46709442138672,
,0.01,5949,,
,0.01,5999,,
,0.01,6049,,
,0.01,6099,,
36,,6104,,21.770614624023438
36,,6104,21.424226760864258,
,0.01,6149,,
,0.01,6199,,
,0.01,6249,,
37,,6269,,22.692739486694336
37,,6269,21.356401443481445,
