epoch,lr-Adam,step,train_loss,val_loss
,0.01,49,,
,0.01,99,,
,0.01,149,,
0,,164,,43.446537017822266
0,,164,81.54329681396484,
,0.01,199,,
,0.01,249,,
,0.01,299,,
1,,329,,38.281944274902344
1,,329,39.6129264831543,
,0.01,349,,
,0.01,399,,
,0.01,449,,
2,,494,,34.01372146606445
2,,494,34.76150131225586,
,0.01,499,,
,0.01,549,,
,0.01,599,,
,0.01,649,,
3,,659,,29.884016036987305
3,,659,32.11973190307617,
,0.01,699,,
,0.01,749,,
,0.01,799,,
4,,824,,29.449403762817383
4,,824,30.153810501098633,
,0.01,849,,
,0.01,899,,
,0.01,949,,
5,,989,,28.575714111328125
5,,989,29.09872055053711,
,0.01,999,,
,0.01,1049,,
,0.01,1099,,
,0.01,1149,,
6,,1154,,27.02316665649414
6,,1154,27.655834197998047,
,0.01,1199,,
,0.01,1249,,
,0.01,1299,,
7,,1319,,26.69123649597168
7,,1319,26.786985397338867,
,0.01,1349,,
,0.01,1399,,
,0.01,1449,,
8,,1484,,27.106111526489258
8,,1484,26.062528610229492,
,0.01,1499,,
,0.01,1549,,
,0.01,1599,,
,0.01,1649,,
9,,1649,,25.80695343017578
9,,1649,26.080810546875,
,0.01,1699,,
,0.01,1749,,
,0.01,1799,,
10,,1814,,24.348562240600586
10,,1814,25.522016525268555,
,0.01,1849,,
,0.01,1899,,
,0.01,1949,,
11,,1979,,24.07411003112793
11,,1979,24.354143142700195,
,0.01,1999,,
,0.01,2049,,
,0.01,2099,,
12,,2144,,25.657543182373047
12,,2144,24.76218605041504,
,0.01,2149,,
,0.01,2199,,
,0.01,2249,,
,0.01,2299,,
13,,2309,,31.532512664794922
13,,2309,24.324321746826172,
,0.01,2349,,
,0.01,2399,,
,0.01,2449,,
14,,2474,,24.401939392089844
14,,2474,23.99837303161621,
,0.01,2499,,
,0.01,2549,,
,0.01,2599,,
15,,2639,,23.832101821899414
15,,2639,23.913965225219727,
,0.01,2649,,
,0.01,2699,,
,0.01,2749,,
,0.01,2799,,
16,,2804,,23.45087242126465
16,,2804,23.25592041015625,
,0.01,2849,,
,0.01,2899,,
,0.01,2949,,
17,,2969,,26.213855743408203
17,,2969,23.145896911621094,
,0.01,2999,,
,0.01,3049,,
,0.01,3099,,
18,,3134,,26.181541442871094
18,,3134,23.376501083374023,
,0.01,3149,,
,0.01,3199,,
,0.01,3249,,
,0.01,3299,,
19,,3299,,22.949649810791016
19,,3299,23.378211975097656,
,0.01,3349,,
,0.01,3399,,
,0.01,3449,,
20,,3464,,25.072072982788086
20,,3464,23.033462524414062,
,0.01,3499,,
,0.01,3549,,
,0.01,3599,,
21,,3629,,22.941926956176758
21,,3629,22.5076904296875,
,0.01,3649,,
,0.01,3699,,
,0.01,3749,,
22,,3794,,26.15011215209961
22,,3794,22.40731430053711,
,0.01,3799,,
,0.01,3849,,
,0.01,3899,,
,0.01,3949,,
23,,3959,,22.211002349853516
23,,3959,22.77450942993164,
,0.01,3999,,
,0.01,4049,,
,0.01,4099,,
24,,4124,,23.43753433227539
24,,4124,22.473743438720703,
,0.01,4149,,
,0.01,4199,,
,0.01,4249,,
25,,4289,,23.684280395507812
25,,4289,22.276264190673828,
,0.01,4299,,
,0.01,4349,,
,0.01,4399,,
,0.01,4449,,
26,,4454,,22.842859268188477
26,,4454,21.81329345703125,
,0.01,4499,,
,0.01,4549,,
,0.01,4599,,
27,,4619,,21.82827377319336
