epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.001,49,,,
,0.001,99,,,
,0.001,149,,,
,0.001,199,,,
,0.001,249,,,
0,,249,,,200.3640899658203
0,,249,,209.04617309570312,
,0.001,299,,,
,0.001,349,,,
,0.001,399,,,
,0.001,449,,,
,0.001,499,,,
1,,499,,,172.2037353515625
1,,499,,188.42210388183594,
,0.001,549,,,
,0.001,599,,,
,0.001,649,,,
,0.001,699,,,
,0.001,749,,,
2,,749,,,141.93545532226562
2,,749,,157.76866149902344,
,0.001,799,,,
,0.001,849,,,
,0.001,899,,,
,0.001,949,,,
,0.001,999,,,
3,,999,,,110.89349365234375
3,,999,,117.82228088378906,
,0.001,1049,,,
,0.001,1099,,,
,0.001,1149,,,
,0.001,1199,,,
,0.001,1249,,,
4,,1249,,,70.9030990600586
4,,1249,,75.16130065917969,
,0.001,1299,,,
,0.001,1349,,,
,0.001,1399,,,
,0.001,1449,,,
,0.001,1499,,,
5,,1499,,,55.127620697021484
5,,1499,,55.198089599609375,
,0.001,1549,,,
,0.001,1599,,,
,0.001,1649,,,
,0.001,1699,,,
,0.001,1749,,,
6,,1749,,,59.3203125
6,,1749,,53.00190734863281,
,0.001,1799,,,
,0.001,1849,,,
,0.001,1899,,,
,0.001,1949,,,
,0.001,1999,,,
7,,1999,,,57.41078567504883
7,,1999,,52.27700424194336,
,0.001,2049,,,
,0.001,2099,,,
,0.001,2149,,,
,0.001,2199,,,
,0.001,2249,,,
8,,2249,,,60.27106857299805
8,,2249,,51.85951614379883,
,0.001,2299,,,
,0.001,2349,,,
,0.001,2399,,,
,0.001,2449,,,
,0.001,2499,,,
9,,2499,,,57.97377395629883
9,,2499,,51.20026779174805,
,0.001,2549,,,
,0.001,2599,,,
,0.001,2649,,,
,0.001,2699,,,
,0.001,2749,,,
10,,2749,,,61.354251861572266
10,,2749,,50.957828521728516,
,0.001,2799,,,
,0.001,2849,,,
,0.001,2899,,,
,0.001,2949,,,
,0.001,2999,,,
11,,2999,,,59.52735137939453
11,,2999,,50.56007385253906,
,0.001,3049,,,
,0.001,3099,,,
,0.001,3149,,,
,0.001,3199,,,
,0.001,3249,,,
12,,3249,,,60.20334243774414
12,,3249,,50.37363052368164,
,0.001,3299,,,
,0.001,3349,,,
,0.001,3399,,,
,0.001,3449,,,
,0.001,3499,,,
13,,3499,,,61.31095886230469
13,,3499,,50.14702224731445,
,0.001,3549,,,
,0.001,3599,,,
,0.001,3649,,,
,0.001,3699,,,
,0.001,3749,,,
14,,3749,,,59.67964172363281
14,,3749,,49.85789108276367,
,0.001,3799,,,
,0.001,3849,,,
,0.001,3899,,,
,0.001,3949,,,
,0.001,3999,,,
15,,3999,,,60.49324035644531
15,,3999,,49.82339859008789,
16,,4000,60.49324035644531,,
