epoch,lr-Adam,step,train_loss,val_loss
,0.01,49,,
,0.01,99,,
,0.01,149,,
0,,164,,21.35133171081543
0,,164,21.37505340576172,
,0.01,199,,
,0.01,249,,
,0.01,299,,
1,,329,,22.320417404174805
1,,329,21.014585494995117,
,0.01,349,,
,0.01,399,,
,0.01,449,,
2,,494,,21.761228561401367
2,,494,20.95741844177246,
,0.01,499,,
,0.01,549,,
,0.01,599,,
,0.01,649,,
3,,659,,21.961153030395508
3,,659,20.792051315307617,
,0.01,699,,
,0.01,749,,
,0.01,799,,
4,,824,,22.15932273864746
4,,824,20.92049789428711,
,0.01,849,,
,0.01,899,,
,0.01,949,,
5,,989,,21.534631729125977
5,,989,20.673919677734375,
,0.01,999,,
,0.01,1049,,
,0.01,1099,,
,0.01,1149,,
6,,1154,,21.691360473632812
6,,1154,21.05174446105957,
,0.01,1199,,
,0.01,1249,,
,0.01,1299,,
7,,1319,,22.327585220336914
7,,1319,20.49429702758789,
,0.01,1349,,
,0.01,1399,,
,0.01,1449,,
8,,1484,,21.320499420166016
8,,1484,20.88442611694336,
,0.01,1499,,
,0.01,1549,,
,0.01,1599,,
,0.01,1649,,
9,,1649,,20.900754928588867
9,,1649,20.577136993408203,
,0.01,1699,,
,0.01,1749,,
,0.01,1799,,
10,,1814,,22.130605697631836
10,,1814,20.652050018310547,
,0.01,1849,,
,0.01,1899,,
,0.01,1949,,
11,,1979,,20.976913452148438
11,,1979,20.525575637817383,
,0.01,1999,,
,0.01,2049,,
,0.01,2099,,
12,,2144,,21.271886825561523
12,,2144,20.191364288330078,
,0.01,2149,,
,0.01,2199,,
,0.01,2249,,
,0.01,2299,,
13,,2309,,20.786008834838867
13,,2309,20.2158203125,
,0.01,2349,,
,0.01,2399,,
,0.01,2449,,
14,,2474,,21.793472290039062
14,,2474,20.287721633911133,
,0.01,2499,,
,0.01,2549,,
,0.01,2599,,
15,,2639,,21.62489128112793
15,,2639,20.49070167541504,
,0.01,2649,,
,0.01,2699,,
,0.01,2749,,
,0.01,2799,,
16,,2804,,21.090330123901367
16,,2804,20.464468002319336,
,0.01,2849,,
,0.01,2899,,
,0.01,2949,,
17,,2969,,20.994258880615234
17,,2969,20.275484085083008,
,0.01,2999,,
,0.01,3049,,
,0.01,3099,,
18,,3134,,20.84958267211914
18,,3134,20.35442543029785,
,0.01,3149,,
,0.01,3199,,
,0.01,3249,,
,0.01,3299,,
19,,3299,,21.298267364501953
19,,3299,20.23649024963379,
,0.01,3349,,
,0.01,3399,,
,0.01,3449,,
20,,3464,,21.619651794433594
20,,3464,20.278915405273438,
,0.01,3499,,
,0.01,3549,,
,0.01,3599,,
21,,3629,,22.195344924926758
21,,3629,20.05545425415039,
,0.01,3649,,
,0.01,3699,,
,0.01,3749,,
22,,3794,,20.7647762298584
22,,3794,20.463394165039062,
,0.01,3799,,
,0.01,3849,,
,0.01,3899,,
,0.01,3949,,
23,,3959,,22.166105270385742
23,,3959,19.70429801940918,
,0.01,3999,,
,0.01,4049,,
,0.01,4099,,
24,,4124,,20.846431732177734
24,,4124,20.020872116088867,
,0.01,4149,,
,0.01,4199,,
,0.01,4249,,
25,,4289,,20.82342529296875
25,,4289,20.209550857543945,
,0.01,4299,,
,0.01,4349,,
,0.01,4399,,
,0.01,4449,,
26,,4454,,21.204214096069336
26,,4454,19.837705612182617,
,0.01,4499,,
,0.01,4549,,
,0.01,4599,,
27,,4619,,20.37312126159668
27,,4619,20.14836311340332,
,0.01,4649,,
,0.01,4699,,
,0.01,4749,,
28,,4784,,20.743532180786133
28,,4784,20.173063278198242,
,0.01,4799,,
,0.01,4849,,
,0.01,4899,,
,0.01,4949,,
29,,4949,,21.015207290649414
29,,4949,19.99921989440918,
,0.01,4999,,
,0.01,5049,,
,0.01,5099,,
30,,5114,,21.616683959960938
30,,5114,19.760438919067383,
,0.01,5149,,
,0.01,5199,,
,0.01,5249,,
31,,5279,,20.703510284423828
31,,5279,20.009328842163086,
,0.01,5299,,
,0.01,5349,,
,0.01,5399,,
32,,5444,,22.346742630004883
32,,5444,20.02586555480957,
,0.01,5449,,
,0.01,5499,,
,0.01,5549,,
,0.01,5599,,
33,,5609,,20.480894088745117
33,,5609,19.714406967163086,
,0.01,5649,,
,0.01,5699,,
,0.01,5749,,
34,,5774,,20.935535430908203
34,,5774,19.903308868408203,
,0.01,5799,,
,0.01,5849,,
,0.01,5899,,
35,,5939,,20.499969482421875
35,,5939,19.837444305419922,
,0.01,5949,,
,0.01,5999,,
,0.01,6049,,
,0.01,6099,,
36,,6104,,20.809860229492188
36,,6104,19.69670867919922,
,0.01,6149,,
,0.01,6199,,
,0.01,6249,,
37,,6269,,21.0722599029541
37,,6269,20.064468383789062,
