epoch,lr-Adam,step,train_loss,val_loss
,0.001,49,,
,0.001,99,,
,0.001,149,,
,0.001,199,,
,0.001,249,,
0,,249,,262.14068603515625
0,,249,272.96112060546875,
,0.001,299,,
,0.001,349,,
,0.001,399,,
,0.001,449,,
,0.001,499,,
1,,499,,243.8646697998047
1,,499,256.0549621582031,
,0.001,549,,
,0.001,599,,
,0.001,649,,
,0.001,699,,
,0.001,749,,
2,,749,,184.61865234375
2,,749,229.6131134033203,
,0.001,799,,
,0.001,849,,
,0.001,899,,
,0.001,949,,
,0.001,999,,
3,,999,,151.09521484375
3,,999,196.72193908691406,
,0.001,1049,,
,0.001,1099,,
,0.001,1149,,
,0.001,1199,,
,0.001,1249,,
4,,1249,,106.7964096069336
4,,1249,158.04872131347656,
,0.001,1299,,
,0.001,1349,,
,0.001,1399,,
,0.001,1449,,
,0.001,1499,,
5,,1499,,70.15074157714844
5,,1499,113.57356262207031,
,0.001,1549,,
,0.001,1599,,
,0.001,1649,,
,0.001,1699,,
,0.001,1749,,
6,,1749,,58.143226623535156
6,,1749,69.38750457763672,
,0.001,1799,,
,0.001,1849,,
,0.001,1899,,
,0.001,1949,,
,0.001,1999,,
7,,1999,,55.49304962158203
7,,1999,44.65116882324219,
,0.001,2049,,
,0.001,2099,,
,0.001,2149,,
,0.001,2199,,
,0.001,2249,,
8,,2249,,58.33942413330078
8,,2249,40.00449752807617,
,0.001,2299,,
,0.001,2349,,
,0.001,2399,,
,0.001,2449,,
,0.001,2499,,
9,,2499,,74.97733306884766
9,,2499,38.979557037353516,
,0.001,2549,,
,0.001,2599,,
,0.001,2649,,
,0.001,2699,,
,0.001,2749,,
10,,2749,,57.367984771728516
10,,2749,37.73595428466797,
,0.001,2799,,
,0.001,2849,,
,0.001,2899,,
,0.001,2949,,
,0.001,2999,,
11,,2999,,54.64076614379883
11,,2999,37.09882736206055,
,0.001,3049,,
,0.001,3099,,
,0.001,3149,,
,0.001,3199,,
,0.001,3249,,
12,,3249,,52.258201599121094
12,,3249,36.52632522583008,
,0.001,3299,,
,0.001,3349,,
,0.001,3399,,
,0.001,3449,,
,0.001,3499,,
13,,3499,,62.566165924072266
13,,3499,35.924102783203125,
,0.001,3549,,
,0.001,3599,,
,0.001,3649,,
,0.001,3699,,
,0.001,3749,,
14,,3749,,57.475921630859375
14,,3749,35.257572174072266,
,0.001,3799,,
,0.001,3849,,
,0.001,3899,,
,0.001,3949,,
,0.001,3999,,
15,,3999,,53.62621307373047
15,,3999,35.416229248046875,
,0.001,4049,,
,0.001,4099,,
,0.001,4149,,
,0.001,4199,,
,0.001,4249,,
16,,4249,,55.28668212890625
16,,4249,34.62812805175781,
,0.001,4299,,
,0.001,4349,,
,0.001,4399,,
,0.001,4449,,
,0.001,4499,,
17,,4499,,63.32026290893555
17,,4499,33.81892395019531,
,0.001,4549,,
,0.001,4599,,
,0.001,4649,,
,0.001,4699,,
,0.001,4749,,
18,,4749,,61.93015670776367
18,,4749,34.17919158935547,
,0.001,4799,,
,0.001,4849,,
,0.001,4899,,
,0.001,4949,,
,0.001,4999,,
19,,4999,,74.91728973388672
19,,4999,34.02725601196289,
,0.001,5049,,
,0.001,5099,,
,0.001,5149,,
,0.001,5199,,
,0.001,5249,,
20,,5249,,58.88778305053711
20,,5249,33.398109436035156,
,0.001,5299,,
,0.001,5349,,
,0.001,5399,,
,0.001,5449,,
,0.001,5499,,
21,,5499,,62.44719314575195
21,,5499,33.32258224487305,
,0.001,5549,,
,0.001,5599,,
,0.001,5649,,
,0.001,5699,,
,0.001,5749,,
22,,5749,,59.900360107421875
22,,5749,32.998348236083984,
