epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.005,49,,,
,0.005,99,,,
,0.005,149,,,
,0.005,199,,,
,0.005,249,,,
0,,249,,,61.16349792480469
0,,249,,154.5907745361328,
,0.005,299,,,
,0.005,349,,,
,0.005,399,,,
,0.005,449,,,
,0.005,499,,,
1,,499,,,57.07651138305664
1,,499,,57.86574172973633,
,0.005,549,,,
,0.005,599,,,
,0.005,649,,,
,0.005,699,,,
,0.005,749,,,
2,,749,,,57.74901580810547
2,,749,,56.94601821899414,
,0.005,799,,,
,0.005,849,,,
,0.005,899,,,
,0.005,949,,,
,0.005,999,,,
3,,999,,,57.11927795410156
3,,999,,56.49513244628906,
,0.005,1049,,,
,0.005,1099,,,
,0.005,1149,,,
,0.005,1199,,,
,0.005,1249,,,
4,,1249,,,68.9117660522461
4,,1249,,55.95100021362305,
,0.005,1299,,,
,0.005,1349,,,
,0.005,1399,,,
,0.005,1449,,,
,0.005,1499,,,
5,,1499,,,58.02690505981445
5,,1499,,55.852012634277344,
,0.005,1549,,,
,0.005,1599,,,
,0.005,1649,,,
,0.005,1699,,,
,0.005,1749,,,
6,,1749,,,63.29190444946289
6,,1749,,55.076717376708984,
,0.005,1799,,,
,0.005,1849,,,
,0.005,1899,,,
,0.005,1949,,,
,0.005,1999,,,
7,,1999,,,59.28052520751953
7,,1999,,55.19886779785156,
,0.005,2049,,,
,0.005,2099,,,
,0.005,2149,,,
,0.005,2199,,,
,0.005,2249,,,
8,,2249,,,59.629981994628906
8,,2249,,54.45558166503906,
,0.005,2299,,,
,0.005,2349,,,
,0.005,2399,,,
,0.005,2449,,,
,0.005,2499,,,
9,,2499,,,69.37503814697266
9,,2499,,54.49798583984375,
,0.005,2549,,,
,0.005,2599,,,
,0.005,2649,,,
,0.005,2699,,,
,0.005,2749,,,
10,,2749,,,54.722938537597656
10,,2749,,54.06650161743164,
,0.005,2799,,,
,0.005,2849,,,
,0.005,2899,,,
,0.005,2949,,,
,0.005,2999,,,
11,,2999,,,60.49114990234375
11,,2999,,53.6788215637207,
,0.005,3049,,,
,0.005,3099,,,
,0.005,3149,,,
,0.005,3199,,,
,0.005,3249,,,
12,,3249,,,63.0693473815918
12,,3249,,53.5709114074707,
,0.005,3299,,,
,0.005,3349,,,
,0.005,3399,,,
,0.005,3449,,,
,0.005,3499,,,
13,,3499,,,57.34952163696289
13,,3499,,53.307743072509766,
,0.005,3549,,,
,0.005,3599,,,
,0.005,3649,,,
,0.005,3699,,,
,0.005,3749,,,
14,,3749,,,62.43825912475586
14,,3749,,53.049835205078125,
,0.005,3799,,,
,0.005,3849,,,
,0.005,3899,,,
,0.005,3949,,,
,0.005,3999,,,
15,,3999,,,59.83713912963867
15,,3999,,52.737030029296875,
,0.005,4049,,,
,0.005,4099,,,
,0.005,4149,,,
,0.005,4199,,,
,0.005,4249,,,
16,,4249,,,60.6079216003418
16,,4249,,52.985267639160156,
,0.005,4299,,,
,0.005,4349,,,
,0.005,4399,,,
,0.005,4449,,,
,0.005,4499,,,
17,,4499,,,62.17751693725586
17,,4499,,52.658546447753906,
,0.005,4549,,,
,0.005,4599,,,
,0.005,4649,,,
,0.005,4699,,,
,0.005,4749,,,
18,,4749,,,54.860225677490234
18,,4749,,52.48125457763672,
,0.005,4799,,,
,0.005,4849,,,
,0.005,4899,,,
,0.005,4949,,,
,0.005,4999,,,
19,,4999,,,63.74919509887695
19,,4999,,52.728294372558594,
,0.005,5049,,,
,0.005,5099,,,
,0.005,5149,,,
,0.005,5199,,,
,0.005,5249,,,
20,,5249,,,57.95512771606445
20,,5249,,52.317962646484375,
21,,5250,57.95512771606445,,
