epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.001,49,,,
,0.001,99,,,
,0.001,149,,,
,0.001,199,,,
,0.001,249,,,
0,,249,,,198.85154724121094
0,,249,,209.1381072998047,
,0.001,299,,,
,0.001,349,,,
,0.001,399,,,
,0.001,449,,,
,0.001,499,,,
1,,499,,,182.6374969482422
1,,499,,188.50094604492188,
,0.001,549,,,
,0.001,599,,,
,0.001,649,,,
,0.001,699,,,
,0.001,749,,,
2,,749,,,140.06570434570312
2,,749,,157.8997344970703,
,0.001,799,,,
,0.001,849,,,
,0.001,899,,,
,0.001,949,,,
,0.001,999,,,
3,,999,,,101.64895629882812
3,,999,,118.15380096435547,
,0.001,1049,,,
,0.001,1099,,,
,0.001,1149,,,
,0.001,1199,,,
,0.001,1249,,,
4,,1249,,,70.10792541503906
4,,1249,,75.48688507080078,
,0.001,1299,,,
,0.001,1349,,,
,0.001,1399,,,
,0.001,1449,,,
,0.001,1499,,,
5,,1499,,,64.58655548095703
5,,1499,,55.487178802490234,
,0.001,1549,,,
,0.001,1599,,,
,0.001,1649,,,
,0.001,1699,,,
,0.001,1749,,,
6,,1749,,,59.97821807861328
6,,1749,,53.06898498535156,
,0.001,1799,,,
,0.001,1849,,,
,0.001,1899,,,
,0.001,1949,,,
,0.001,1999,,,
7,,1999,,,62.66334915161133
7,,1999,,52.664424896240234,
,0.001,2049,,,
,0.001,2099,,,
,0.001,2149,,,
,0.001,2199,,,
,0.001,2249,,,
8,,2249,,,56.9490852355957
8,,2249,,51.94205093383789,
,0.001,2299,,,
,0.001,2349,,,
,0.001,2399,,,
,0.001,2449,,,
,0.001,2499,,,
9,,2499,,,56.13261795043945
9,,2499,,51.71778869628906,
,0.001,2549,,,
,0.001,2599,,,
,0.001,2649,,,
,0.001,2699,,,
,0.001,2749,,,
10,,2749,,,58.71706008911133
10,,2749,,51.09203338623047,
,0.001,2799,,,
,0.001,2849,,,
,0.001,2899,,,
,0.001,2949,,,
,0.001,2999,,,
11,,2999,,,61.08332824707031
11,,2999,,50.615089416503906,
,0.001,3049,,,
,0.001,3099,,,
,0.001,3149,,,
,0.001,3199,,,
,0.001,3249,,,
12,,3249,,,59.10593795776367
12,,3249,,50.49401092529297,
,0.001,3299,,,
,0.001,3349,,,
,0.001,3399,,,
,0.001,3449,,,
,0.001,3499,,,
13,,3499,,,61.4873161315918
13,,3499,,50.027626037597656,
,0.001,3549,,,
,0.001,3599,,,
,0.001,3649,,,
,0.001,3699,,,
,0.001,3749,,,
14,,3749,,,59.577003479003906
14,,3749,,50.14035415649414,
,0.001,3799,,,
,0.001,3849,,,
,0.001,3899,,,
,0.001,3949,,,
,0.001,3999,,,
15,,3999,,,64.94559478759766
15,,3999,,49.49637222290039,
,0.001,4049,,,
,0.001,4099,,,
,0.001,4149,,,
,0.001,4199,,,
,0.001,4249,,,
16,,4249,,,62.037071228027344
16,,4249,,49.76357650756836,
,0.001,4299,,,
,0.001,4349,,,
,0.001,4399,,,
,0.001,4449,,,
,0.001,4499,,,
17,,4499,,,62.07442855834961
17,,4499,,49.20316696166992,
,0.001,4549,,,
,0.001,4599,,,
,0.001,4649,,,
,0.001,4699,,,
,0.001,4749,,,
18,,4749,,,60.170047760009766
18,,4749,,49.282806396484375,
,0.001,4799,,,
,0.001,4849,,,
,0.001,4899,,,
,0.001,4949,,,
,0.001,4999,,,
19,,4999,,,59.27955627441406
19,,4999,,48.752784729003906,
20,,5000,59.27955627441406,,
